id,date,sumBalance,roip
1,2022-03-01,1449.078127,0
2,2022-03-15,2276.244063,0.5708
3,2022-03-31,3788.114525,0.6642
4,2022-04-15,4660.895968,0.2304
5,2022-04-30,6119.67118,0.313
6,2022-05-15,6874.534738,0.1234
7,2022-05-31,8341.619734,0.2134
8,2022-06-15,9256.965212,0.1097
9,2022-06-30,10734.92865,0.1597
10,2022-07-15,11658.50882,0.086
11,2022-07-31,13136.61776,0.1268
12,2022-08-15,13907.55823,0.0587
13,2022-08-31,15528.84246,0.1166
14,2022-09-15,16455.36321,0.0597
15,2022-09-30,17938.422-62,0.0901
16,2022-10-15,18866.81421,0.0518
17,2022-10-31,20189.38685,0.0701
18,2022-11-15,21115.82046,0.0459
19,2022-11-30,22607.2537,0.0706
20,2022-12-15,23532.22137,0.0409
21,2022-12-31,25163.99018,0.0693
22,2023-01-15,25935.39719,0.0307
23,2023-01-31,27410.64677,0.0569
24,2023-02-15,28340.0874,0.0339
25,2023-02-28,29556.2027,0.0429
26,2023-03-15,30485.30333,0.0314
27,2023-03-31,32117.31869,0.0535
28,2023-04-15,33046.79537,0.0289
29,2023-04-30,34389.70978,0.0406
30,2023-05-15,35164.00152,0.0225
